,category_id,views,likes,dislikes,comment_count,country,category
362539,10,0.0014830847202079612,0.0069074091524373655,0.00032391228455334295,4892,US,Music
362540,24,0.004623502075941022,0.002228960742823033,0.0007840733872124571,1068,US,Entertainment
362542,24,0.0026085649015892645,0.0043086472027014724,0.001099245181547694,5072,US,Entertainment
362543,24,0.0018526598964883764,0.005147290787550097,0.0007784177758948591,3624,US,Entertainment
362545,24,0.001189592107830805,0.0022172040570541274,0.00017223907194503156,971,US,Entertainment
362546,24,0.0003895992591207124,0.0003352436760163788,6.426831042725058e-05,392,US,Entertainment
362549,24,0.0015281076962589484,0.003551587891824953,0.00015115906612489337,986,US,Entertainment
362550,24,0.0033689571291123112,0.004586710634296354,0.0006771309186615122,1804,US,Entertainment
362551,24,0.002464250646398523,0.013281848550017662,0.002976908138990247,13153,US,Entertainment
362557,24,0.0067212844470432905,0.025777780469544216,0.0042124021386437125,21495,US,Entertainment
362559,24,0.007050568841417661,0.0006013722902397954,0.0007439699615058528,475,US,Entertainment
362566,24,0.001071230722271212,0.0021783713676962256,0.0010102978399163791,3511,US,Entertainment
362567,10,0.0006371054970370847,0.0035761700529781198,0.00023547908940544615,880,US,Music
362568,1,0.012964697372356749,0.054904791330406155,0.0029990164377772213,26298,US,Film & Animation
362570,10,0.026767848153900754,0.07152981379725452,0.0034632907123036795,20180,US,Music
362574,24,0.000479049270397067,0.0010648707200987847,0.00017275321842844958,1048,US,Entertainment
362576,24,0.001304625175656797,0.0017250264391831097,0.0006298294421870558,2963,US,Entertainment
362577,10,0.0007271773596097383,0.0014077740550252082,0.00029049276313117267,1832,US,Music
362579,24,0.00870344958698062,0.045228860810994,0.002492582151610487,20025,US,Entertainment
362581,24,0.016860331927969034,0.11883248272524251,0.0026725334208067882,122314,US,Entertainment
362583,10,0.0031982801477542233,0.021072434187943447,0.0007213475162354606,9322,US,Music
362584,10,0.006016536133052339,0.017538481324771853,0.0019455302932537297,5077,US,Music
362585,24,0.016866712970248103,0.03879777556379988,0.0029049276313117267,16980,US,Entertainment
362586,24,0.017239178341757908,0.03572732113048728,0.0033553199507858986,19420,US,Entertainment
362588,1,0.01962658559861414,0.009188918718015358,0.000980477343878135,4767,US,Film & Animation
362590,10,0.005506234124021575,0.024546891095860276,0.0017753478072423702,11704,US,Music
362592,10,0.0006072377908360531,0.002130275835005247,0.0002529600698416583,1019,US,Music
362594,24,0.006245832021075954,0.015079730814647477,0.0005203162412190207,3241,US,Entertainment
362596,24,0.0019091612110502174,0.015088459263172876,0.0003048888646668768,4481,US,Entertainment
362599,10,0.0007393152373742428,0.0019494722584076781,0.00024370543314013423,1020,US,Music
362600,24,0.0007975030880275618,0.0009065117254236727,0.0001429327223902053,2428,US,Entertainment
362602,10,0.0032036718811528165,0.014405146435755857,0.000555792348574863,4906,US,Music
362604,24,0.0007059543286261977,0.003220084979462317,0.0002694127573110345,1536,US,Entertainment
362608,10,0.0004889541366884974,0.002600543265761485,9.151807404840483e-05,1086,US,Music
